Time_s,RL_SpeedOverride,Reward,TrackingError_mm,EE_Velocity_mms,TorqueMag_Nm
1.26,0.999627113342285,-0.0402205077224186,13.9336025854256,27.9560254117693,185.490618903983
1.29,0.999656438827515,-0.0288419587870725,14.931989634499,51.5472572940325,185.490618903983
1.32,0.999592363834381,-8.05571277411321e-05,16.6550665463342,80.3056173432992,119.437934619341
1.35,0.999616265296936,0.00679171330018799,19.3295199685847,112.9941868478,119.437934619341
1.38,0.999634981155396,0.01087700794638,23.1301785639262,148.455848302967,119.437934619341
1.41,0.999649226665497,0.0120138985420124,28.1527590828175,185.613285411368,119.437934619341
1.44,0.999659597873688,0.0101559814407192,34.423215596911,223.468983082932,119.437934619341
1.47,0.999619841575623,-0.00980651802555704,41.9200905963363,261.105227434602,83.7829473695034
1.5,0.999623775482178,-0.0332669256193212,50.5916855988541,297.68410579073,83.7829473695034
1.53,0.999624311923981,-0.0579653680325766,60.3652533898279,332.447506682769,83.7829473695034
1.56,0.999621570110321,-0.0837330936186286,71.1513435077957,364.717119849399,83.7829473695034
1.59,0.999615550041199,-0.110382227774303,82.8461158749561,393.894436236567,83.7829473695034
1.62,0.999580383300781,-0.00327541217584693,35.34261848998,419.460747997334,104.850750680415
1.65,0.999567210674286,-0.0311713164896454,48.571932944741,440.977148492033,104.850750680415
1.68,0.999550580978394,-0.0592456772872229,62.31446891339,458.0845322883,104.850750680415
1.71,0.999530553817749,-0.0872381912077282,76.429576768213,470.503595160767,104.850750680415
1.74,0.999506831169128,-0.114885672388224,90.770621790957,478.034834091466,104.850750680415
1.77,0.999408900737762,-0.070970722947383,56.615378209043,480.558547269535,101.189202077539
1.8,0.999406218528748,-0.0970780990195771,70.956423231787,478.034834091466,101.189202077539
1.83,0.99943208694458,-0.122054561163486,85.07153108661,470.503595160767,101.189202077539
1.86,0.999454438686371,-0.145602805818204,98.814067055259,458.0845322883,101.189202077539
1.89,0.999473214149475,-0.167478211604277,112.04338151002,440.977148492033,101.189202077539
1.92,0.999388456344604,-0.0474687803047869,53.67120394994,419.460747997334,97.909289748679
1.95,0.999402344226837,-0.0652842816404077,65.488037037037,393.894436236567,97.909289748679
1.98,0.99941211938858,-0.380796756425337,76.429550632519,364.717119849399,97.909289748679
2.01,0.999417364597321,-0.393819547720031,86.402975833002,332.447506682767,97.909289748679
2.04,0.999418139457703,-0.404218401840917,95.333499006725,297.684105790768,97.909289748679
2.07,0.999149024486542,-0.304891010523204,37.678655829763,261.1052274346,37.9718042545497
2.1,0.999136090278625,-0.309715239672671,44.38272532225,223.468983082898,37.9718042545497
2.13,0.999115169048309,-0.31182918932642,49.951123884591,185.613285411368,37.9718042545497
2.16,0.99908572435379,-0.324352518392965,54.40479933368,148.455848302967,37.9718042545497
2.19,0.999046683311462,-0.339856537975076,57.794624939114,112.9941868478,37.9718042545497
2.22,0.999225497245789,-0.360165834452772,60.203793459413,80.3056173432992,108.601985528544
2.25,0.999177217483521,-0.373823601388814,61.750211178234,51.5472572940325,108.601985528544
2.28,0.99911767244339,-0.387008118713083,62.588891940587,27.9560254117674,108.601985528544
2.31,0.999044954776764,-0.400027376021501,62.914351189053,10.8486416155339,108.601985528544
2.34,0.998956561088562,-0.413306940325499,62.963,1.6216270315662,108.601985528544
2.37,0.99880838394165,-0.296970085532912,1.16435118905304,1.6216270315662,139.420507597802
2.4,0.998929381370544,-0.296341048538358,0.838891940587018,10.8486416155339,139.420507597802
2.43,0.999025702476501,-0.282107399549841,0.000211178233996634,27.9560254117674,139.420507597802
2.46,0.999110996723175,-0.271694430040135,1.54620654058698,51.5472572940325,139.420507597802
2.49,0.999184191226959,-0.26358723909603,3.95537506088596,80.3056173432992,139.420507597802
2.52,0.999359607696533,-0.276028960008804,0.000200666319983611,112.9941868478,188.158875825666
2.55,0.999406516551971,-0.273071147590962,4.453876115409,148.455848302967,188.158875825666
2.58,0.999447762966156,-0.272906187316898,10.02227467775,185.613285411368,188.158875825666
2.61,0.999484062194824,-0.275534851716126,16.726344170238,223.468983082932,188.158875825666
2.64,0.999516189098358,-0.285081402993817,24.559500993276,261.1052274346,188.158875825666
2.67,0.999555945396423,-0.296403925088586,33.490024166998,297.684105790734,194.995708027583
2.7,0.999580502510071,-0.321450600947361,43.463449367481,332.447506682767,194.995708027583
2.73,0.999602317810059,-0.0474886440038425,54.404962962963,364.717119849399,194.995708027583
2.76,0.999621629714966,-0.074347687267777,66.22179605006,393.894436236567,194.995708027583
2.79,0.999638736248016,-0.101833078633596,78.80561848998,419.460747997334,194.995708027583
2.82,0.999716460704803,-0.12751616580525,92.034932944741,440.977148492033,249.593076117311
2.85,0.999727189540863,-0.155561183236204,105.77746891339,458.0845322883,249.593076117311
2.88,0.999736249446869,-0.183543451118273,119.892576768213,470.503595160767,249.593076117311
2.91,0.999744057655334,-0.211179988885987,134.233621790957,478.034834091466,249.593076117311
2.94,0.999750733375549,-0.238200838633002,148.650378209043,480.558547269535,249.593076117311
2.97,0.999618113040924,-0.0828063468822421,57.214423231787,478.034834091466,180.666027395106
3,0.999662160873413,-0.107743827588468,71.32953108661,470.503595160767,180.666027395106
3.03,0.999699175357819,-0.131286618418189,85.072067055259,458.0845322883,180.666027395106
3.06,0.999730050563812,-0.153157625381478,98.30138151002,440.977148492033,180.666027395106
3.09,0.999755442142487,-0.173118998440264,110.88520394994,419.460747997334,180.666027395106
3.12,0.999756395816803,-0.0599601438947839,51.372037037037,393.894436236567,203.24070459955
3.15,0.99977445602417,-0.0754764989420882,62.313550632519,364.717119849399,203.24070459955
3.18,0.999788403511047,-0.0884968047227933,72.2869758330029,332.447506682799,203.24070459955
3.21,0.999798893928528,-0.0988930481614684,81.2174990067249,297.684105790734,203.24070459955
3.24,0.999806106090546,-0.106567204752812,89.050655829763,261.105227434602,203.24070459955
3.27,0.999807178974152,-0.126032048743922,95.75472532225,223.468983082898,198.730283123519
3.3,0.999808430671692,-0.128137004056401,101.323123884591,185.613285411368,198.730283123519
3.33,0.999806940555573,-0.140649461235756,105.77679933368,148.455848302967,198.730283123519
3.36,0.99980241060257,-0.156141160537792,109.166624939114,112.9941868478,198.730283123519
3.39,0.999794840812683,-0.170624388701603,111.575793459413,80.3056173432992,198.730283123519
3.42,0.99969345331192,0.00952464866675919,11.7992111782339,51.5472572940325,168.360912506171
3.45,0.999672770500183,-0.00362061899894318,12.637891940587,27.9560254117693,168.360912506171
3.48,0.999646425247192,-0.0166237115276082,12.9633511890529,10.8486416155301,168.360912506171
3.51,0.999613702297211,-0.0298837851129433,13.0119999999999,1.6216270315681,168.360912506171
3.54,0.999579846858978,-0.0284107991596014,13.0120004780203,0.11756795980015,168.360912506171
